epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,2389.87,0.06202,0.94406,1,0.85995,0.000429253,0.000429253,0.000429253
77,2421.26,0.03348,0.93007,1,0.39734,0.000412749,0.000412749,0.000412749
78,2452.86,0.03183,0.93007,1,0.75698,0.000396246,0.000396246,0.000396246
79,2484.28,0.03213,0.93007,1,0.52291,0.000379743,0.000379743,0.000379743
80,2515.72,0.03453,0.93007,1,0.5065,0.000363239,0.000363239,0.000363239
81,2547.3,0.03903,0.93007,1,0.65926,0.000346736,0.000346736,0.000346736
82,2578.74,0.03797,0.93007,1,0.87032,0.000330233,0.000330233,0.000330233
83,2610.15,0.01811,0.93007,1,0.24526,0.000313729,0.000313729,0.000313729
84,2641.7,0.02004,0.93007,1,0.34141,0.000297226,0.000297226,0.000297226
85,2673.12,0.03072,0.93007,1,0.26835,0.000280723,0.000280723,0.000280723
86,2704.61,0.02755,0.93007,1,0.88214,0.00026422,0.00026422,0.00026422
87,2736.08,0.02829,0.93007,1,0.34775,0.000247716,0.000247716,0.000247716
88,2767.54,0.0222,0.93007,1,0.70314,0.000231213,0.000231213,0.000231213
89,2798.98,0.01429,0.93007,1,0.30541,0.00021471,0.00021471,0.00021471
90,2830.78,0.02698,0.94406,1,0.36141,0.000198206,0.000198206,0.000198206
91,2862.16,0.03526,0.94406,1,0.29421,0.000181703,0.000181703,0.000181703
92,2893.75,0.03485,0.94406,1,0.32813,0.0001652,0.0001652,0.0001652
93,2925.11,0.01262,0.94406,1,0.87467,0.000148696,0.000148696,0.000148696
94,2956.63,0.02273,0.93007,1,0.33458,0.000132193,0.000132193,0.000132193
95,2988.09,0.02561,0.93007,1,0.29276,0.00011569,0.00011569,0.00011569
96,3019.56,0.01498,0.93007,1,0.57505,9.91865e-05,9.91865e-05,9.91865e-05
97,3051.03,0.03547,0.93007,1,0.93146,8.26832e-05,8.26832e-05,8.26832e-05
98,3082.55,0.02077,0.93007,1,0.37568,6.61799e-05,6.61799e-05,6.61799e-05
99,3114.09,0.02999,0.93007,1,0.28506,4.96766e-05,4.96766e-05,4.96766e-05
100,3145.55,0.02192,0.93007,1,0.43003,3.31733e-05,3.31733e-05,3.31733e-05
